NAME,LANG,DAYS,RAND
maggio,it,31,88578897354
March,en,31,65313991380
janvier,fr,31,45572888453
juin,fr,30,52092786903
Juni,de,30,52167525055
July,en,31,35769002141
Maius,la,31,77592737996
ottobre,it,31,89576273812
November,en,30,18188748018
octubre,sp,31,86707928896
Ianuarius,la,31,84378675730
octobre,fr,31,70699199346
febbraio,it,28,63421244844
Sextilis,la,31,44725601606
September,en,30,89480520204
marzo,it,31,94655634655
aprile,it,30,75718449405
novembre,it,30,97322090656
février,fr,28,37536760973
Januar,de,31,84872282783
gennaio,it,31,85971391253
Februar,de,28,81711436263
juillet,fr,31,51884166517
December,la,31,55470717924
luglio,it,31,18457954977
April,de,30,70772747006
October,la,31,98989558264
diciembre,sp,31,81789521577
Februarius,la,28,82528057333
avril,fr,30,39169696724
February,en,28,62961863608
January,en,31,88304335103
mayo,sp,31,68449276553
enero,sp,31,49349553758
mai,fr,31,52039494948
November,la,30,60930664648
agosto,sp,31,81288223160
septiembre,sp,30,75982718188
junio,sp,30,90500925945
June,en,30,22797972261
April,en,30,64240151480
Quintilis,la,31,33709854532
May,en,31,48840894984
julio,sp,31,11353150828
décembre,fr,31,50564926317
settembre,it,30,39793562015
mars,fr,31,64675012797
October,en,31,58807764859
März,de,31,84488937337
November,de,30,42792469726
Martius,la,31,47017581013
September,de,30,44229280614
September,la,30,75156681737
agosto,it,31,27279177636
novembre,fr,30,81738610212
août,fr,31,86657742601
Oktober,de,31,34323027423
August,en,31,53534916317
Dezember,de,31,70349912766
dicembre,it,31,28647388389
Juli,de,31,22008871207
Kann,de,31,30535775635
giugno,it,30,76127720643
septembre,fr,30,49789818589
marzo,sp,31,66366142311
Aprilis,la,30,87706241350
August,de,31,24972944919
febrero,sp,28,21852089466
noviembre,sp,30,33384179393
Iunius,la,30,27807436457
abril,sp,30,71410692703
December,en,31,43384708572
